e1	a1	l1	r1	a2	l2	r2	a3	b3	l3	r3	a4	b4	l4	r4	a5	b5	l5	r5
    40.00000	     7.96392	   224.10545	   265.90753	     3.76915	   225.25431	   259.25985	     5.92734	     2.53393	   216.34550	   265.90753	     6.91221	     4.28427	   215.03996	   265.90753	     6.32677	     3.45350	   214.26310	   265.90753	
    59.00000	     6.81288	   340.71220	   392.21361	     4.99699	   304.85229	   385.56593	     4.33677	     4.74897	   297.26627	   392.21361	     5.19909	     5.36877	   306.79579	   392.21361	     5.55841	     6.60574	   293.92474	   392.21361	
    47.00000	     7.03641	   269.45276	   312.44135	     4.01391	   263.08582	   305.79367	     4.62461	     2.86558	   257.58025	   312.44135	     5.28538	     4.55679	   253.66035	   312.44135	     4.95613	     4.02037	   254.04109	   312.44135	
    24.00000	     8.96630	   130.13665	   159.54452	     6.68557	   113.65287	   152.89683	     6.45763	     6.43951	   110.48870	   159.54452	     8.06598	     9.05715	   107.09463	   159.54452	     7.86522	     9.07711	   109.00762	   159.54452	
    38.00000	     9.25554	   203.69437	   252.61216	     3.98049	   209.09855	   245.96447	     7.14972	     2.65853	   195.02981	   252.61216	     7.99544	     4.34992	   194.16521	   252.61216	     7.56423	     4.14906	   192.01864	   252.61216	
    27.00000	    11.96809	   132.96376	   179.48759	     4.49019	   144.45137	   172.83990	    10.47638	     3.15159	   126.93611	   179.48759	    11.33166	     5.08883	   126.32519	   179.48759	    10.95301	     4.73079	   123.96391	   179.48759	
    21.00000	     9.98500	   110.60024	   139.60146	     5.02565	   109.21667	   132.95377	     7.59714	     3.59129	   104.16384	   139.60146	     8.99865	     5.76426	   104.77375	   139.60146	     7.97312	     5.23219	   102.47457	   139.60146	
    48.00000	     7.05799	   275.30414	   319.08904	     4.17437	   266.75947	   312.44135	     4.66377	     3.19905	   260.10123	   319.08904	     5.19586	     5.74124	   249.96216	   319.08904	     5.12224	     3.95168	   259.70146	   319.08904	
    39.00000	     6.70575	   226.22414	   259.25985	     2.97964	   228.62126	   252.61216	     5.21491	     1.67136	   222.13101	   259.25985	     5.71014	     5.30132	   215.14661	   259.25985	     5.11937	     3.23213	   216.73755	   259.25985	
    40.00000	    10.35094	   207.08109	   265.90753	     4.38880	   216.99975	   259.25985	     8.49877	     3.23461	   196.42385	   265.90753	     9.08125	     6.98646	   181.94428	   265.90753	     8.91979	     5.52321	   186.03982	   265.90753	
    38.00000	     6.52271	   221.83108	   252.61216	     4.17102	   210.96687	   245.96447	     3.97511	     3.23791	   209.92686	   252.61216	     4.90534	     5.88291	   203.34627	   252.61216	     4.39757	     4.47960	   205.81374	   252.61216	
    29.00000	    11.86464	   143.22626	   192.78296	     5.44858	   148.20633	   186.13527	    10.13685	     4.51211	   131.58617	   192.78296	    10.90782	     4.86427	   133.73047	   192.78296	    10.65872	     5.33126	   130.81203	   192.78296	
    43.00000	    10.27524	   223.16561	   285.85060	     4.34667	   235.92857	   279.20291	     8.46345	     3.00526	   213.72073	   285.85060	     9.36834	     5.31309	   210.74205	   285.85060	     8.75353	     4.49689	   208.95566	   285.85060	
    30.00000	     8.18173	   167.05295	   199.43065	     6.21135	   146.66936	   192.78296	     5.15231	     5.58718	   145.04695	   199.43065	     6.14585	     7.21657	   148.96458	   199.43065	     5.98782	     6.95889	   145.04114	   199.43065	
    34.00000	     6.59052	   198.13574	   226.02140	     3.37800	   192.08248	   219.37372	     4.54257	     2.57696	   188.83918	   226.02140	     5.22504	     3.37884	   191.07918	   226.02140	     4.88583	     3.38655	   185.69976	   226.02140	
    30.00000	     8.51856	   164.93076	   199.43065	     3.58058	   169.13687	   192.78296	     6.76875	     2.00466	   161.16156	   199.43065	     7.98520	     2.58389	   162.85697	   199.43065	     7.02008	     2.37090	   160.74397	   199.43065	
