e1	a1	l1	r1	a2	l2	r2	a3	b3	l3	r3	a4	b4	l4	r4	a5	b5	l5	r5
    30.00000	     9.45787	   160.07890	   199.43065	     5.33159	   153.95910	   192.78296	     6.61662	     4.13840	   147.86726	   199.43065	     7.89170	     6.42269	   148.37860	   199.43065	     7.34217	     5.61172	   147.26219	   199.43065	
    24.00000	    12.11334	   117.38664	   159.54452	     4.57232	   124.87022	   152.89683	    10.36720	     3.88090	   109.67768	   159.54452	    11.86672	     6.27663	   107.47911	   159.54452	    10.85479	     5.31596	   108.45959	   159.54452	
    24.00000	    11.36275	   120.19908	   159.54452	     4.38468	   129.32995	   152.89683	     9.82237	     2.97777	   115.66305	   159.54452	    11.10373	     6.52577	   111.51564	   159.54452	    10.30486	     5.92561	   109.99204	   159.54452	
    39.00000	     7.93752	   218.05302	   259.25985	     4.58819	   209.12874	   252.61216	     5.19144	     3.75138	   203.51745	   259.25985	     6.67068	     5.76447	   202.01079	   259.25985	     6.10816	     5.22910	   200.92536	   259.25985	
    43.00000	     6.70747	   249.66750	   285.85060	     5.56261	   213.88513	   279.20291	     3.68960	     5.26435	   212.86529	   285.85060	     4.92399	     7.33800	   204.93509	   285.85060	     4.68920	     6.81968	   211.87028	   285.85060	
    34.00000	    10.42804	   176.27965	   226.02140	     4.81713	   177.64216	   219.37372	     7.86388	     3.70889	   164.50892	   226.02140	     8.82996	     5.68686	   159.88154	   226.02140	     8.61532	     5.63658	   161.14983	   226.02140	
    39.00000	    11.23837	   199.01027	   259.25985	     5.92239	   194.94564	   252.61216	     8.21765	     4.69890	   180.44399	   259.25985	     9.69270	     5.41060	   186.93647	   259.25985	     9.21525	     4.81448	   184.78518	   259.25985	
    36.00000	    10.22265	   186.53642	   239.31678	     4.68211	   192.23738	   232.66909	     8.09783	     3.63512	   175.56633	   239.31678	     9.42850	     5.70855	   173.11228	   239.31678	     8.66128	     4.49561	   174.38487	   239.31678	
    28.00000	    10.92699	   142.24755	   186.13527	     5.34074	   143.90209	   179.48759	     8.49569	     3.64816	   133.62422	   186.13527	     9.45636	     5.03628	   133.96566	   186.13527	     9.26968	     4.53780	   134.58927	   186.13527	
    38.00000	     9.29549	   203.95356	   252.61216	     4.66296	   204.10793	   245.96447	     7.04779	     3.61816	   191.94690	   252.61216	     8.22371	     5.22003	   191.67843	   252.61216	     7.46031	     4.83352	   188.69077	   252.61216	
    36.00000	    11.38036	   180.11562	   239.31678	     5.35176	   181.52296	   232.66909	     9.14891	     4.70406	   162.41953	   239.31678	    10.19803	     6.08099	   163.37088	   239.31678	     9.95487	     5.79290	   160.76900	   239.31678	
    41.00000	     9.25012	   220.84247	   272.55522	     4.00173	   228.49196	   265.90753	     7.48485	     2.58821	   212.95964	   272.55522	     8.23729	     4.30661	   212.24726	   272.55522	     7.85422	     4.46526	   209.02011	   272.55522	
    35.00000	     9.01144	   189.45159	   232.66909	     5.24871	   181.56385	   226.02140	     6.09773	     4.10056	   174.81575	   232.66909	     7.22161	     5.05116	   175.05003	   232.66909	     6.89203	     5.63812	   171.03509	   232.66909	
    37.00000	     7.17724	   211.71153	   245.96447	     4.25868	   195.03264	   239.31678	     4.61102	     3.65348	   190.48208	   245.96447	     5.44329	     4.11716	   191.68591	   245.96447	     4.85925	     4.64127	   190.91321	   245.96447	
    41.00000	     7.03846	   236.36896	   272.55522	     2.64605	   244.33168	   265.90753	     5.91193	     1.25093	   233.71431	   272.55522	     6.15995	     4.20955	   224.02621	   272.55522	     6.03822	     1.61249	   233.22995	   272.55522	
    33.00000	     7.95039	   185.00710	   219.37372	     4.38580	   181.37183	   212.72603	     5.61673	     3.12651	   176.51516	   219.37372	     6.70841	     5.37570	   175.89902	   219.37372	     5.93113	     4.15897	   174.77805	   219.37372	
    42.00000	     7.67821	   236.37293	   279.20291	     4.10480	   228.95933	   272.55522	     5.35219	     3.37914	   221.08344	   279.20291	     6.17944	     5.48488	   217.50543	   279.20291	     5.73462	     5.29709	   213.71376	   279.20291	
    39.00000	     9.70466	   206.83589	   259.25985	     4.32183	   214.72016	   252.61216	     8.00947	     3.02266	   197.51648	   259.25985	     8.80878	     5.07037	   195.86220	   259.25985	     8.36147	     4.60765	   193.38160	   259.25985	
    34.00000	     7.45572	   193.34560	   226.02140	     3.71278	   190.39745	   219.37372	     5.29492	     2.58916	   185.93620	   226.02140	     6.24841	     3.46913	   185.87564	   226.02140	     5.24894	     4.28487	   179.56202	   226.02140	
    42.00000	     7.52012	   238.28612	   279.20291	     4.24003	   231.30427	   272.55522	     5.18475	     3.37916	   224.46410	   279.20291	     6.17260	     4.83323	   222.91771	   279.20291	     5.57291	     5.25871	   216.40841	   279.20291	
    28.00000	    12.17157	   136.68827	   186.13527	     4.10189	   152.72389	   179.48759	    10.59429	     2.18503	   133.35650	   186.13527	    10.95542	     5.03728	   128.22893	   186.13527	    10.74892	     3.06402	   132.21743	   186.13527	
    44.00000	     8.81603	   240.26140	   292.49829	     4.57459	   240.26954	   285.85060	     6.64331	     3.36413	   227.13939	   292.49829	     7.71059	     7.09011	   218.91067	   292.49829	     7.01692	     5.44325	   218.98989	   292.49829	
    46.00000	     6.39585	   268.92709	   305.79367	     3.30905	   265.31018	   299.14598	     4.37475	     2.27870	   260.24058	   305.79367	     5.00875	     2.62413	   261.21851	   305.79367	     4.68280	     3.10330	   258.31436	   305.79367	
    38.00000	     7.75133	   214.52137	   252.61216	     3.72426	   213.14204	   245.96447	     5.83815	     2.78738	   204.85074	   252.61216	     6.93954	     6.49314	   189.36377	   252.61216	     6.12553	     4.03561	   199.19664	   252.61216	
    25.00000	     8.98274	   135.36398	   166.19221	     5.33094	   128.74743	   159.54452	     6.19516	     4.18552	   125.57302	   166.19221	     7.93137	     5.51371	   127.68029	   166.19221	     6.78139	     5.30630	   124.35510	   166.19221	
    33.00000	     9.94328	   172.52269	   219.37372	     4.77133	   175.46145	   212.72603	     7.63323	     3.25908	   163.91102	   219.37372	     8.73141	     4.80516	   165.81732	   219.37372	     8.02811	     4.82100	   159.41435	   219.37372	
    27.00000	     7.91025	   151.50018	   179.48759	     4.03981	   147.93557	   172.83990	     5.79853	     3.12942	   143.84999	   179.48759	     7.35545	     6.71312	   138.46998	   179.48759	     6.35401	     4.78135	   140.58903	   179.48759	
    39.00000	     4.67588	   239.31838	   259.25985	     2.34855	   233.67086	   252.61216	     3.12552	     1.53721	   234.42265	   259.25985	     3.29250	     2.32706	   231.78764	   259.25985	     2.97437	     3.36845	   227.78795	   259.25985	
    26.00000	    11.88827	   127.85756	   172.83990	     4.52090	   139.47735	   166.19221	    10.31051	     2.59803	   123.74138	   172.83990	    10.80338	     4.16596	   121.60955	   172.83990	    10.62520	     2.95787	   124.00158	   172.83990	
    37.00000	     5.58437	   222.05282	   245.96447	     3.64745	   210.70524	   239.31678	     3.45461	     2.97891	   210.63912	   245.96447	     4.67669	     5.63784	   206.62556	   245.96447	     3.92549	     3.63486	   210.38339	   245.96447	
    49.00000	     9.15350	   264.21736	   325.73673	     3.04093	   288.01045	   319.08904	     8.15604	     1.32471	   261.20986	   325.73673	     8.87815	     0.66390	   263.73609	   325.73673	     8.37490	     1.58757	   261.31933	   325.73673	
